,subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top
0,0,1,1,attraction,A,M,A,target,7220.0,0.78,0.62,0.76,11,15,10,1,0,2,True,False,False
1,0,1,2,attraction,B,M,B,target,7770.0,0.78,0.65,0.63,11,15,14,0,1,2,False,False,True
2,0,1,3,attraction,A,M,C,decoy,5870.0,0.72,0.62,0.7,12,15,11,2,0,1,False,True,True
3,0,1,4,attraction,B,L,C,decoy,9550.0,0.78,0.62,0.6,11,15,14,2,1,0,True,False,True
4,0,1,5,filler,,M,C,,3740.0,0.29,0.42,0.72,34,23,13,0,2,1,False,False,False
5,0,1,6,compromise,B,L,A,competitor,3650.0,0.72,0.68,0.58,12,14,18,0,2,1,False,False,False
6,0,1,7,compromise,B,L,B,target,7650.0,0.72,0.65,0.55,11,15,18,1,0,2,True,True,True
7,0,1,8,filler,,M,C,,3140.0,0.28,0.67,0.78,35,14,12,0,2,1,True,False,True
8,0,1,9,compromise,A,R,B,competitor,8060.000000000001,0.75,0.65,0.85,12,15,9,0,2,1,True,True,True
9,0,1,10,compromise,B,L,C,decoy,6160.0,0.72,0.62,0.55,12,14,18,2,1,0,True,True,True
10,0,1,11,compromise,A,L,A,target,6850.0,0.78,0.65,0.82,12,14,9,0,2,1,True,True,False
11,0,1,12,compromise,A,L,A,target,7440.0,0.72,0.68,0.82,12,15,8,0,1,2,True,False,True
12,0,1,13,compromise,B,L,C,decoy,11160.0,0.72,0.62,0.58,11,14,18,2,1,0,True,False,False
13,0,1,14,compromise,A,R,B,competitor,8970.0,0.78,0.68,0.88,11,15,9,0,2,1,True,False,False
14,0,1,15,compromise,A,M,A,target,8370.0,0.75,0.68,0.88,11,15,9,1,2,0,False,True,True
15,0,1,16,compromise,A,R,A,target,10860.0,0.75,0.65,0.82,12,15,8,2,1,0,True,True,True
16,0,1,17,attraction,B,M,C,decoy,6430.0,0.72,0.62,0.6,12,15,14,0,2,1,True,True,False
17,0,1,18,attraction,A,L,B,competitor,5280.0,0.78,0.68,0.76,11,15,10,2,0,1,False,False,False
18,0,1,19,compromise,B,L,B,target,6740.0,0.75,0.68,0.55,11,14,17,2,0,1,False,False,False
19,0,1,20,attraction,B,R,A,competitor,5290.0,0.75,0.62,0.6,11,15,14,2,0,1,True,True,True
20,0,1,21,compromise,B,M,C,decoy,11530.0,0.78,0.62,0.55,12,14,18,2,0,1,False,False,True
21,0,1,22,attraction,A,M,B,competitor,12580.0,0.72,0.65,0.7,12,15,11,2,1,0,False,True,True
22,0,1,23,attraction,A,M,A,target,9910.0,0.75,0.68,0.73,11,14,10,1,0,2,False,False,False
23,0,1,24,compromise,A,M,A,target,6950.0,0.75,0.62,0.88,11,15,9,1,0,2,True,False,True
24,0,1,25,compromise,B,M,A,competitor,7870.0,0.72,0.62,0.55,12,14,18,1,0,2,False,True,True
