subject,effect,A,B,C,competitor,decoy,target,rst
0,attraction,0.5,0.4583,0.0417,0.1979,0.0417,0.7604,0.7935
0,compromise,0.4375,0.3229,0.2396,0.1875,0.2396,0.5729,0.7534
1,attraction,0.1667,0.8229,0.0104,0.4688,0.0104,0.5208,0.5263
1,compromise,0.1771,0.5833,0.2396,0.5208,0.2396,0.2396,0.3151
2,attraction,0.8125,0.1875,0.0,0.5,0.0,0.5,0.5
2,compromise,0.6771,0.25,0.0729,0.375,0.0729,0.5521,0.5955
3,attraction,0.5417,0.4062,0.0521,0.4792,0.0521,0.4688,0.4945
3,compromise,0.25,0.375,0.375,0.3958,0.375,0.2292,0.3667
4,attraction,0.4271,0.5521,0.0208,0.3854,0.0208,0.5938,0.6064
4,compromise,0.2812,0.4271,0.2917,0.2917,0.2917,0.4167,0.5882
5,attraction,0.4375,0.5417,0.0208,0.2708,0.0208,0.7083,0.7234
5,compromise,0.3438,0.5521,0.1042,0.1667,0.1042,0.7292,0.814
6,attraction,0.3958,0.6042,0.0,0.5625,0.0,0.4375,0.4375
6,compromise,0.2396,0.3854,0.375,0.3333,0.375,0.2917,0.4667
7,attraction,0.4479,0.5521,0.0,0.1771,0.0,0.8229,0.8229
7,compromise,0.3438,0.375,0.2812,0.3854,0.2812,0.3333,0.4638
8,attraction,0.6875,0.3125,0.0,0.4792,0.0,0.5208,0.5208
8,compromise,0.6875,0.2708,0.0417,0.3646,0.0417,0.5938,0.6196
9,attraction,0.7083,0.2812,0.0104,0.4583,0.0104,0.5312,0.5368
9,compromise,0.4792,0.2604,0.2604,0.2917,0.2604,0.4479,0.6056
10,attraction,0.8021,0.1771,0.0208,0.5104,0.0208,0.4688,0.4787
10,compromise,0.7188,0.1667,0.1146,0.4792,0.1146,0.4062,0.4588
11,attraction,0.3854,0.5729,0.0417,0.4792,0.0417,0.4792,0.5
11,compromise,0.3333,0.4792,0.1875,0.3854,0.1875,0.4271,0.5256
12,attraction,0.6354,0.3542,0.0104,0.5,0.0104,0.4896,0.4947
12,compromise,0.6042,0.3125,0.0833,0.4896,0.0833,0.4271,0.4659
13,attraction,0.4062,0.5729,0.0208,0.4271,0.0208,0.5521,0.5638
13,compromise,0.4271,0.3854,0.1875,0.3021,0.1875,0.5104,0.6282
14,attraction,0.5208,0.4688,0.0104,0.1354,0.0104,0.8542,0.8632
14,compromise,0.25,0.1875,0.5625,0.1979,0.5625,0.2396,0.5476
15,attraction,0.2708,0.7083,0.0208,0.4792,0.0208,0.5,0.5106
15,compromise,0.375,0.625,0.0,0.4583,0.0,0.5417,0.5417
16,attraction,0.4479,0.5521,0.0,0.5521,0.0,0.4479,0.4479
16,compromise,0.1979,0.25,0.5521,0.1875,0.5521,0.2604,0.5814
17,attraction,0.5208,0.4583,0.0208,0.4271,0.0208,0.5521,0.5638
17,compromise,0.4062,0.2812,0.3125,0.3333,0.3125,0.3542,0.5152
18,attraction,0.625,0.3646,0.0104,0.4583,0.0104,0.5312,0.5368
18,compromise,0.375,0.3542,0.2708,0.2604,0.2708,0.4688,0.6429
19,attraction,0.5,0.5,0.0,0.1875,0.0,0.8125,0.8125
19,compromise,0.3438,0.2604,0.3958,0.1354,0.3958,0.4688,0.7759
20,attraction,0.8438,0.1458,0.0104,0.5625,0.0104,0.4271,0.4316
20,compromise,0.6458,0.1979,0.1562,0.4271,0.1562,0.4167,0.4938
21,attraction,0.4896,0.5,0.0104,0.5833,0.0104,0.4062,0.4105
21,compromise,0.1354,0.2604,0.6042,0.25,0.6042,0.1458,0.3684
