,,attraction,compromise
A,mean,0.5227,0.387
A,std,0.2045,0.1832
A,min,0.0521,0.0417
A,max,0.9583,0.7396
B,mean,0.4612,0.3477
B,std,0.194,0.1264
B,min,0.0312,0.0833
B,max,0.8854,0.625
C,mean,0.0161,0.2654
C,std,0.0238,0.1601
C,min,0.0,0.0
C,max,0.125,0.6042
target,mean,0.562,0.394
target,std,0.132,0.1473
target,min,0.3854,0.0729
target,max,0.8542,0.7292
competitor,mean,0.4219,0.3406
competitor,std,0.1275,0.1033
competitor,min,0.1354,0.1354
competitor,max,0.5938,0.5417
decoy,mean,0.0161,0.2654
decoy,std,0.0238,0.1601
decoy,min,0.0,0.0
decoy,max,0.125,0.6042
rst,mean,0.5706,0.5264
rst,std,0.1305,0.1434
rst,min,0.4062,0.1296
rst,max,0.8632,0.814
