subject,effect,target_alternative,A,B,C,competitor,decoy,target,rst
0,attraction,A,0.7916666666666666,0.1875,0.020833333333333332,0.1875,0.020833333333333332,0.7916666666666666,0.8085106382978723
0,attraction,B,0.20833333333333334,0.7291666666666666,0.0625,0.20833333333333334,0.0625,0.7291666666666666,0.7777777777777778
0,compromise,A,0.75,0.25,0.0,0.25,0.0,0.75,0.75
0,compromise,B,0.125,0.3958333333333333,0.4791666666666667,0.125,0.4791666666666667,0.3958333333333333,0.7600000000000001
1,attraction,A,0.1875,0.7916666666666666,0.020833333333333332,0.7916666666666666,0.020833333333333332,0.1875,0.19148936170212766
1,attraction,B,0.14583333333333334,0.8541666666666666,0.0,0.14583333333333334,0.0,0.8541666666666666,0.8541666666666666
1,compromise,A,0.125,0.8125,0.0625,0.8125,0.0625,0.125,0.13333333333333333
1,compromise,B,0.22916666666666666,0.3541666666666667,0.4166666666666667,0.22916666666666666,0.4166666666666667,0.3541666666666667,0.6071428571428571
2,attraction,A,0.8125,0.1875,0.0,0.1875,0.0,0.8125,0.8125
2,attraction,B,0.8125,0.1875,0.0,0.8125,0.0,0.1875,0.1875
2,compromise,A,0.7291666666666666,0.125,0.14583333333333334,0.125,0.14583333333333334,0.7291666666666666,0.8536585365853658
2,compromise,B,0.625,0.375,0.0,0.625,0.0,0.375,0.375
3,attraction,A,0.5416666666666666,0.4166666666666667,0.041666666666666664,0.4166666666666667,0.041666666666666664,0.5416666666666666,0.5652173913043478
3,attraction,B,0.5416666666666666,0.3958333333333333,0.0625,0.5416666666666666,0.0625,0.3958333333333333,0.4222222222222222
3,compromise,A,0.08333333333333333,0.375,0.5416666666666666,0.375,0.5416666666666666,0.08333333333333333,0.18181818181818182
3,compromise,B,0.4166666666666667,0.375,0.20833333333333334,0.4166666666666667,0.20833333333333334,0.375,0.47368421052631576
4,attraction,A,0.5416666666666666,0.4583333333333333,0.0,0.4583333333333333,0.0,0.5416666666666666,0.5416666666666666
4,attraction,B,0.3125,0.6458333333333334,0.041666666666666664,0.3125,0.041666666666666664,0.6458333333333334,0.6739130434782609
4,compromise,A,0.3958333333333333,0.4166666666666667,0.1875,0.4166666666666667,0.1875,0.3958333333333333,0.48717948717948717
4,compromise,B,0.16666666666666666,0.4375,0.3958333333333333,0.16666666666666666,0.3958333333333333,0.4375,0.7241379310344828
5,attraction,A,0.6458333333333334,0.3125,0.041666666666666664,0.3125,0.041666666666666664,0.6458333333333334,0.6739130434782609
5,attraction,B,0.22916666666666666,0.7708333333333334,0.0,0.22916666666666666,0.0,0.7708333333333334,0.7708333333333334
5,compromise,A,0.625,0.2708333333333333,0.10416666666666667,0.2708333333333333,0.10416666666666667,0.625,0.6976744186046512
5,compromise,B,0.0625,0.8333333333333334,0.10416666666666667,0.0625,0.10416666666666667,0.8333333333333334,0.9302325581395349
6,attraction,A,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
6,attraction,B,0.4583333333333333,0.5416666666666666,0.0,0.4583333333333333,0.0,0.5416666666666666,0.5416666666666666
6,compromise,A,0.375,0.5625,0.0625,0.5625,0.0625,0.375,0.4
6,compromise,B,0.10416666666666667,0.20833333333333334,0.6875,0.10416666666666667,0.6875,0.20833333333333334,0.6666666666666667
7,attraction,A,0.7708333333333334,0.22916666666666666,0.0,0.22916666666666666,0.0,0.7708333333333334,0.7708333333333334
7,attraction,B,0.125,0.875,0.0,0.125,0.0,0.875,0.875
7,compromise,A,0.4375,0.5208333333333334,0.041666666666666664,0.5208333333333334,0.041666666666666664,0.4375,0.45652173913043476
7,compromise,B,0.25,0.22916666666666666,0.5208333333333334,0.25,0.5208333333333334,0.22916666666666666,0.4782608695652174
8,attraction,A,0.7083333333333334,0.2916666666666667,0.0,0.2916666666666667,0.0,0.7083333333333334,0.7083333333333334
8,attraction,B,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
8,compromise,A,0.7916666666666666,0.14583333333333334,0.0625,0.14583333333333334,0.0625,0.7916666666666666,0.8444444444444444
8,compromise,B,0.5833333333333334,0.3958333333333333,0.020833333333333332,0.5833333333333334,0.020833333333333332,0.3958333333333333,0.40425531914893614
9,attraction,A,0.75,0.25,0.0,0.25,0.0,0.75,0.75
9,attraction,B,0.6666666666666666,0.3125,0.020833333333333332,0.6666666666666666,0.020833333333333332,0.3125,0.3191489361702128
9,compromise,A,0.6458333333333334,0.2708333333333333,0.08333333333333333,0.2708333333333333,0.08333333333333333,0.6458333333333334,0.7045454545454545
9,compromise,B,0.3125,0.25,0.4375,0.3125,0.4375,0.25,0.4444444444444444
10,attraction,A,0.7708333333333334,0.1875,0.041666666666666664,0.1875,0.041666666666666664,0.7708333333333334,0.8043478260869565
10,attraction,B,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666
10,compromise,A,0.6458333333333334,0.16666666666666666,0.1875,0.16666666666666666,0.1875,0.6458333333333334,0.7948717948717949
10,compromise,B,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.7916666666666666,0.041666666666666664,0.16666666666666666,0.17391304347826086
11,attraction,A,0.375,0.5625,0.0625,0.5625,0.0625,0.375,0.4
11,attraction,B,0.3958333333333333,0.5833333333333334,0.020833333333333332,0.3958333333333333,0.020833333333333332,0.5833333333333334,0.5957446808510638
11,compromise,A,0.375,0.4791666666666667,0.14583333333333334,0.4791666666666667,0.14583333333333334,0.375,0.4390243902439024
11,compromise,B,0.2916666666666667,0.4791666666666667,0.22916666666666666,0.2916666666666667,0.22916666666666666,0.4791666666666667,0.6216216216216216
12,attraction,A,0.625,0.3541666666666667,0.020833333333333332,0.3541666666666667,0.020833333333333332,0.625,0.6382978723404255
12,attraction,B,0.6458333333333334,0.3541666666666667,0.0,0.6458333333333334,0.0,0.3541666666666667,0.3541666666666667
12,compromise,A,0.5416666666666666,0.3125,0.14583333333333334,0.3125,0.14583333333333334,0.5416666666666666,0.6341463414634146
12,compromise,B,0.6666666666666666,0.3125,0.020833333333333332,0.6666666666666666,0.020833333333333332,0.3125,0.3191489361702128
13,attraction,A,0.4791666666666667,0.5208333333333334,0.0,0.5208333333333334,0.0,0.4791666666666667,0.4791666666666667
13,attraction,B,0.3333333333333333,0.625,0.041666666666666664,0.3333333333333333,0.041666666666666664,0.625,0.6521739130434783
13,compromise,A,0.5625,0.3125,0.125,0.3125,0.125,0.5625,0.6428571428571429
13,compromise,B,0.2916666666666667,0.4583333333333333,0.25,0.2916666666666667,0.25,0.4583333333333333,0.611111111111111
14,attraction,A,0.875,0.10416666666666667,0.020833333333333332,0.10416666666666667,0.020833333333333332,0.875,0.8936170212765958
14,attraction,B,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334
14,compromise,A,0.3333333333333333,0.22916666666666666,0.4375,0.22916666666666666,0.4375,0.3333333333333333,0.5925925925925926
14,compromise,B,0.16666666666666666,0.14583333333333334,0.6875,0.16666666666666666,0.6875,0.14583333333333334,0.4666666666666667
15,attraction,A,0.2916666666666667,0.7083333333333334,0.0,0.7083333333333334,0.0,0.2916666666666667,0.2916666666666667
15,attraction,B,0.25,0.7083333333333334,0.041666666666666664,0.25,0.041666666666666664,0.7083333333333334,0.7391304347826088
15,compromise,A,0.4166666666666667,0.5833333333333334,0.0,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667
15,compromise,B,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
16,attraction,A,0.3958333333333333,0.6041666666666666,0.0,0.6041666666666666,0.0,0.3958333333333333,0.3958333333333333
16,attraction,B,0.5,0.5,0.0,0.5,0.0,0.5,0.5
16,compromise,A,0.3541666666666667,0.3333333333333333,0.3125,0.3333333333333333,0.3125,0.3541666666666667,0.5151515151515151
16,compromise,B,0.041666666666666664,0.16666666666666666,0.7916666666666666,0.041666666666666664,0.7916666666666666,0.16666666666666666,0.8
17,attraction,A,0.5833333333333334,0.3958333333333333,0.020833333333333332,0.3958333333333333,0.020833333333333332,0.5833333333333334,0.5957446808510638
17,attraction,B,0.4583333333333333,0.5208333333333334,0.020833333333333332,0.4583333333333333,0.020833333333333332,0.5208333333333334,0.5319148936170213
