,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.571,0.021,0.529,0.612,0.001,0.0,1657.0,1656.0,1671.0,1266.0,1.0,
mu[1],0.527,0.023,0.481,0.573,0.001,0.0,1956.0,1956.0,1972.0,1335.0,1.0,
r,0.242,0.147,-0.05,0.507,0.004,0.003,1646.0,1363.0,1601.0,1280.0,1.0,0.945
lambda1,57.883,13.392,33.241,84.865,0.305,0.22,1926.0,1853.0,1944.0,1460.0,1.0,
lambda2,47.702,11.262,27.177,70.097,0.255,0.188,1956.0,1804.0,2031.0,1270.0,1.0,
sigma1,0.134,0.016,0.105,0.165,0.0,0.0,1925.0,1892.0,1944.0,1460.0,1.0,
sigma2,0.148,0.018,0.117,0.186,0.0,0.0,2039.0,2017.0,2031.0,1272.0,1.0,
"cov[0,0]",0.018,0.005,0.011,0.027,0.0,0.0,1892.0,1795.0,1944.0,1460.0,1.0,
"cov[0,1]",0.005,0.003,-0.001,0.012,0.0,0.0,1376.0,1132.0,1468.0,1501.0,1.0,
"cov[1,0]",0.005,0.003,-0.001,0.012,0.0,0.0,1376.0,1132.0,1468.0,1501.0,1.0,
"cov[1,1]",0.022,0.005,0.013,0.033,0.0,0.0,2017.0,1926.0,2031.0,1272.0,1.0,
