subject,effect,dwell_A,dwell_B,dwell_C,dwell_p,dwell_m,dwell_target,dwell_competitor,dwell_decoy
0,attraction,0.3366,0.3523,0.3111,0.4923,0.5077,0.3818,0.3071,0.3111
0,compromise,0.3198,0.3627,0.3175,0.496,0.504,0.3651,0.3174,0.3175
1,attraction,0.2968,0.3954,0.3079,0.5297,0.4703,0.3508,0.3413,0.3079
1,compromise,0.3148,0.3758,0.3094,0.5483,0.4517,0.3471,0.3435,0.3094
2,attraction,0.3701,0.3508,0.2791,0.4855,0.5145,0.3507,0.3702,0.2791
2,compromise,0.377,0.3437,0.2793,0.4505,0.5495,0.3658,0.3549,0.2793
3,attraction,0.3375,0.3668,0.2957,0.5183,0.4817,0.3608,0.3435,0.2957
3,compromise,0.2902,0.361,0.3488,0.5236,0.4764,0.314,0.3372,0.3488
4,attraction,0.3189,0.3759,0.3051,0.5095,0.4905,0.3569,0.338,0.3051
4,compromise,0.3225,0.3437,0.3338,0.4946,0.5054,0.3453,0.3209,0.3338
5,attraction,0.3401,0.3795,0.2804,0.4799,0.5201,0.3673,0.3523,0.2804
5,compromise,0.3133,0.3794,0.3073,0.4431,0.5569,0.3771,0.3156,0.3073
6,attraction,0.385,0.3934,0.2216,0.4921,0.5079,0.4024,0.3759,0.2216
6,compromise,0.2872,0.3862,0.3266,0.5054,0.4946,0.3451,0.3283,0.3266
7,attraction,0.3447,0.3626,0.2926,0.5106,0.4894,0.3948,0.3126,0.2926
7,compromise,0.3657,0.3313,0.3029,0.5138,0.4862,0.3564,0.3407,0.3029
8,attraction,0.3454,0.3715,0.2831,0.4855,0.5145,0.3376,0.3793,0.2831
8,compromise,0.3676,0.3716,0.2609,0.4746,0.5254,0.3797,0.3594,0.2609
9,attraction,0.3577,0.3569,0.2854,0.5044,0.4956,0.3634,0.3512,0.2854
9,compromise,0.3305,0.3166,0.3529,0.5023,0.4977,0.3312,0.3159,0.3529
10,attraction,0.387,0.291,0.3221,0.4693,0.5307,0.3466,0.3314,0.3221
10,compromise,0.3747,0.3087,0.3166,0.483,0.517,0.3631,0.3203,0.3166
11,attraction,0.319,0.3664,0.3146,0.4898,0.5102,0.353,0.3325,0.3146
11,compromise,0.3275,0.3506,0.3219,0.5048,0.4952,0.3474,0.3307,0.3219
12,attraction,0.3478,0.3497,0.3025,0.4966,0.5034,0.3539,0.3437,0.3025
12,compromise,0.3395,0.3555,0.3049,0.4848,0.5152,0.3593,0.3357,0.3049
13,attraction,0.3941,0.3906,0.2153,0.482,0.518,0.4233,0.3614,0.2153
13,compromise,0.343,0.3557,0.3013,0.4858,0.5142,0.3706,0.328,0.3013
14,attraction,0.3432,0.3516,0.3053,0.5178,0.4822,0.4062,0.2886,0.3053
14,compromise,0.3099,0.3347,0.3554,0.5554,0.4446,0.3296,0.315,0.3554
15,attraction,0.2892,0.4049,0.3059,0.5324,0.4676,0.3578,0.3362,0.3059
15,compromise,0.3104,0.4192,0.2703,0.5488,0.4512,0.3711,0.3586,0.2703
16,attraction,0.3342,0.4033,0.2625,0.503,0.497,0.3525,0.385,0.2625
16,compromise,0.2994,0.3648,0.3358,0.5052,0.4948,0.3299,0.3343,0.3358
17,attraction,0.3622,0.3466,0.2912,0.5124,0.4876,0.363,0.3458,0.2912
17,compromise,0.3457,0.3035,0.3508,0.5336,0.4664,0.3444,0.3048,0.3508
18,attraction,0.3882,0.3379,0.2739,0.4902,0.5098,0.363,0.3631,0.2739
18,compromise,0.3477,0.3663,0.2859,0.4737,0.5263,0.369,0.345,0.2859
19,attraction,0.3494,0.3583,0.2923,0.5117,0.4883,0.3656,0.3422,0.2923
19,compromise,0.3202,0.3506,0.3292,0.5329,0.4671,0.3696,0.3013,0.3292
20,attraction,0.3779,0.3472,0.2748,0.46,0.54,0.3704,0.3547,0.2748
20,compromise,0.3642,0.3248,0.311,0.4812,0.5188,0.3516,0.3374,0.311
21,attraction,0.3668,0.3684,0.2648,0.5043,0.4957,0.3423,0.3929,0.2648
21,compromise,0.2868,0.3458,0.3674,0.507,0.493,0.3221,0.3105,0.3674
22,attraction,0.3556,0.3278,0.3166,0.4657,0.5343,0.3716,0.3118,0.3166
22,compromise,0.3512,0.3505,0.2983,0.4425,0.5575,0.391,0.3107,0.2983
23,attraction,0.3208,0.3688,0.3104,0.5183,0.4817,0.3533,0.3363,0.3104
23,compromise,0.3186,0.3611,0.3203,0.5239,0.4761,0.3354,0.3443,0.3203
24,attraction,0.3654,0.3632,0.2714,0.4789,0.5211,0.3708,0.3578,0.2714
24,compromise,0.3528,0.349,0.2982,0.4855,0.5145,0.3772,0.3246,0.2982
26,attraction,0.3269,0.3738,0.2993,0.4948,0.5052,0.3501,0.3507,0.2993
26,compromise,0.3346,0.3282,0.3372,0.5051,0.4949,0.3548,0.308,0.3372
27,attraction,0.3624,0.3349,0.3027,0.5131,0.4869,0.3523,0.345,0.3027
27,compromise,0.3407,0.3672,0.2921,0.4968,0.5032,0.3568,0.3511,0.2921
30,attraction,0.3547,0.367,0.2783,0.4972,0.5028,0.3535,0.3681,0.2783
30,compromise,0.3522,0.3462,0.3017,0.491,0.509,0.3623,0.336,0.3017
31,attraction,0.3902,0.3219,0.2879,0.4643,0.5357,0.373,0.3391,0.2879
31,compromise,0.3736,0.3249,0.3015,0.4703,0.5297,0.3463,0.3522,0.3015
32,attraction,0.3228,0.3273,0.3498,0.5096,0.4904,0.3373,0.3129,0.3498
32,compromise,0.3441,0.3455,0.3104,0.5058,0.4942,0.3459,0.3438,0.3104
33,attraction,0.3402,0.334,0.3257,0.5111,0.4889,0.3637,0.3105,0.3257
33,compromise,0.35,0.3304,0.3196,0.4873,0.5127,0.3697,0.3107,0.3196
34,attraction,0.3362,0.3642,0.2996,0.4988,0.5012,0.353,0.3474,0.2996
34,compromise,0.3237,0.363,0.3133,0.5335,0.4665,0.3445,0.3421,0.3133
35,attraction,0.3255,0.3545,0.32,0.4942,0.5058,0.3617,0.3184,0.32
35,compromise,0.3405,0.3836,0.276,0.4661,0.5339,0.3627,0.3614,0.276
36,attraction,0.3376,0.4093,0.2531,0.5074,0.4926,0.3479,0.3991,0.2531
36,compromise,0.3344,0.4193,0.2463,0.4683,0.5317,0.3709,0.3828,0.2463
37,attraction,0.38,0.378,0.242,0.4966,0.5034,0.3818,0.3762,0.242
37,compromise,0.314,0.3498,0.3362,0.4802,0.5198,0.3538,0.31,0.3362
38,attraction,0.3448,0.3573,0.2979,0.5126,0.4874,0.3502,0.3519,0.2979
38,compromise,0.3501,0.3651,0.2847,0.4966,0.5034,0.3675,0.3478,0.2847
39,attraction,0.3153,0.3649,0.3198,0.4668,0.5332,0.338,0.3422,0.3198
39,compromise,0.3386,0.3282,0.3332,0.4563,0.5437,0.3341,0.3327,0.3332
41,attraction,0.2917,0.3977,0.3106,0.5248,0.4752,0.3452,0.3441,0.3106
41,compromise,0.3207,0.3627,0.3166,0.5376,0.4624,0.3625,0.3208,0.3166
42,attraction,0.3581,0.3322,0.3097,0.518,0.482,0.3605,0.3299,0.3097
42,compromise,0.3591,0.349,0.2919,0.5016,0.4984,0.3786,0.3295,0.2919
43,attraction,0.2501,0.4258,0.3241,0.4747,0.5253,0.3349,0.341,0.3241
43,compromise,0.2569,0.3716,0.3715,0.4433,0.5567,0.3053,0.3232,0.3715
