subject,effect,target_alternative,dwell_A,dwell_B,dwell_C,dwell_p,dwell_m,dwell_target,dwell_competitor,dwell_decoy
0,attraction,A,0.3839,0.325,0.2911,0.4698,0.5302,0.3839,0.325,0.2911
0,attraction,B,0.2892,0.3796,0.3312,0.5147,0.4853,0.3796,0.2892,0.3312
0,compromise,A,0.3575,0.3528,0.2896,0.5095,0.4905,0.3575,0.3528,0.2896
0,compromise,B,0.282,0.3726,0.3454,0.4825,0.5175,0.3726,0.282,0.3454
1,attraction,A,0.31,0.3991,0.2909,0.5165,0.4835,0.31,0.3991,0.2909
1,attraction,B,0.2835,0.3917,0.3248,0.5429,0.4571,0.3917,0.2835,0.3248
1,compromise,A,0.3229,0.3804,0.2967,0.5475,0.4525,0.3229,0.3804,0.2967
1,compromise,B,0.3066,0.3713,0.3221,0.5492,0.4508,0.3713,0.3066,0.3221
2,attraction,A,0.3531,0.3533,0.2936,0.479,0.521,0.3531,0.3533,0.2936
2,attraction,B,0.3872,0.3482,0.2646,0.492,0.508,0.3482,0.3872,0.2646
2,compromise,A,0.3695,0.3252,0.3053,0.4608,0.5392,0.3695,0.3252,0.3053
2,compromise,B,0.3846,0.3621,0.2533,0.4403,0.5597,0.3621,0.3846,0.2533
3,attraction,A,0.3565,0.3685,0.275,0.5223,0.4777,0.3565,0.3685,0.275
3,attraction,B,0.3185,0.365,0.3165,0.5143,0.4857,0.365,0.3185,0.3165
3,compromise,A,0.2728,0.3667,0.3606,0.5354,0.4646,0.2728,0.3667,0.3606
3,compromise,B,0.3076,0.3553,0.337,0.5119,0.4881,0.3553,0.3076,0.337
4,attraction,A,0.3327,0.3708,0.2965,0.5003,0.4997,0.3327,0.3708,0.2965
4,attraction,B,0.3051,0.3811,0.3138,0.5187,0.4813,0.3811,0.3051,0.3138
4,compromise,A,0.3422,0.3389,0.3189,0.4911,0.5089,0.3422,0.3389,0.3189
4,compromise,B,0.3029,0.3484,0.3487,0.4982,0.5018,0.3484,0.3029,0.3487
5,attraction,A,0.3573,0.3817,0.2609,0.4734,0.5266,0.3573,0.3817,0.2609
5,attraction,B,0.3228,0.3773,0.2999,0.4865,0.5135,0.3773,0.3228,0.2999
5,compromise,A,0.3565,0.361,0.2824,0.4287,0.5713,0.3565,0.361,0.2824
5,compromise,B,0.2701,0.3977,0.3322,0.4575,0.5425,0.3977,0.2701,0.3322
6,attraction,A,0.4123,0.3942,0.1935,0.4921,0.5079,0.4123,0.3942,0.1935
6,attraction,B,0.3577,0.3926,0.2498,0.492,0.508,0.3926,0.3577,0.2498
6,compromise,A,0.324,0.4063,0.2698,0.4812,0.5188,0.324,0.4063,0.2698
6,compromise,B,0.2504,0.3662,0.3834,0.5295,0.4705,0.3662,0.2504,0.3834
7,attraction,A,0.3869,0.3226,0.2905,0.5035,0.4965,0.3869,0.3226,0.2905
7,attraction,B,0.3026,0.4027,0.2948,0.5177,0.4823,0.4027,0.3026,0.2948
