effect,,attraction,attraction,compromise,compromise
target_alternative,,A,B,A,B
dwell_A,mean,0.3559986643595311,0.3325352093008686,0.35239392669869474,0.31328561620794115
dwell_A,std,0.03284346437663271,0.03753922057831341,0.026594123577217146,0.037677504779202904
dwell_A,min,0.2605549704372726,0.23959875796213007,0.27275621423371094,0.22545932225944412
dwell_A,max,0.4321727390388895,0.3966089560945056,0.39269163422641434,0.4052937364325721
dwell_B,mean,0.3591019148332354,0.36709933307942283,0.351129608506573,0.35628424271023873
dwell_B,std,0.04107656862605951,0.022581787538200837,0.037659197856140476,0.02897936913841429
dwell_B,min,0.26610819347523296,0.31580289668700257,0.27253508202049853,0.29373689722691937
dwell_B,max,0.4500541080336451,0.41450485760964834,0.44008545025117285,0.4200796038075645
dwell_C,mean,0.2848994208072337,0.3003654576197087,0.2964764647947321,0.3304301410818201
dwell_C,std,0.032800444071889714,0.030260461071350445,0.032862591916643334,0.052265123595107287
dwell_C,min,0.19350554640429704,0.22948982944210727,0.21666630110776564,0.2395099950640468
dwell_C,max,0.35659095356741105,0.36436715384553003,0.36055051423318135,0.4533327424975702
dwell_p,mean,0.49448173627743824,0.5017246777008941,0.49179525216083525,0.5002082124291068
dwell_p,std,0.020928617207745977,0.020129450669496413,0.03084257513597184,0.03417420292963132
dwell_p,min,0.44968235614044905,0.45652504165501734,0.40248417623922206,0.41881633683119585
dwell_p,max,0.538781429661904,0.5428675869008959,0.5670846928636896,0.5799903734325794
dwell_m,mean,0.5055182637225617,0.4982753222991058,0.5082047478391647,0.4997917875708932
dwell_m,std,0.020928617207745984,0.020129450669496424,0.03084257513597189,0.03417420292963135
dwell_m,min,0.46121857033809605,0.45713241309910396,0.4329153071363103,0.4200096265674205
dwell_m,max,0.5503176438595508,0.5434749583449827,0.597515823760778,0.5811836631688042
dwell_target,mean,0.3559986643595311,0.36709933307942283,0.35239392669869474,0.35628424271023873
dwell_target,std,0.03284346437663271,0.022581787538200837,0.026594123577217146,0.02897936913841429
dwell_target,min,0.2605549704372726,0.31580289668700257,0.27275621423371094,0.29373689722691937
dwell_target,max,0.4321727390388895,0.41450485760964834,0.39269163422641434,0.4200796038075645
dwell_competitor,mean,0.3591019148332354,0.3325352093008686,0.351129608506573,0.31328561620794115
dwell_competitor,std,0.04107656862605951,0.03753922057831341,0.037659197856140476,0.037677504779202904
dwell_competitor,min,0.26610819347523296,0.23959875796213007,0.27253508202049853,0.22545932225944412
dwell_competitor,max,0.4500541080336451,0.3966089560945056,0.44008545025117285,0.4052937364325721
dwell_decoy,mean,0.2848994208072337,0.3003654576197087,0.2964764647947321,0.3304301410818201
dwell_decoy,std,0.032800444071889714,0.030260461071350445,0.032862591916643334,0.052265123595107287
dwell_decoy,min,0.19350554640429704,0.22948982944210727,0.21666630110776564,0.2395099950640468
dwell_decoy,max,0.35659095356741105,0.36436715384553003,0.36055051423318135,0.4533327424975702
