subject,effect,payne_index
0,attraction,0.1153
0,compromise,0.2723
1,attraction,-0.0605
1,compromise,0.0711
2,attraction,0.0727
2,compromise,-0.0408
3,attraction,-0.0873
3,compromise,0.0158
4,attraction,-0.1947
4,compromise,-0.1252
5,attraction,0.3054
5,compromise,0.2868
6,attraction,0.4363
6,compromise,0.462
7,attraction,-0.0052
7,compromise,0.0477
8,attraction,0.1739
8,compromise,0.187
9,attraction,0.2541
9,compromise,0.3904
10,attraction,0.0471
10,compromise,0.1723
11,attraction,0.0526
11,compromise,0.0204
12,attraction,0.1302
12,compromise,0.107
13,attraction,0.0071
13,compromise,-0.1198
14,attraction,-0.0472
14,compromise,-0.0227
15,attraction,-0.0966
15,compromise,-0.0501
16,attraction,0.315
16,compromise,0.4436
17,attraction,0.2547
17,compromise,0.2255
18,attraction,0.0768
18,compromise,0.1608
19,attraction,-0.0107
19,compromise,0.046
20,attraction,0.4043
20,compromise,0.4417
21,attraction,0.303
21,compromise,0.2893
22,attraction,-0.1704
22,compromise,-0.1155
23,attraction,0.4072
23,compromise,0.3799
24,attraction,0.1477
24,compromise,0.2345
26,attraction,0.1324
26,compromise,0.3161
27,attraction,0.1258
27,compromise,0.2063
30,attraction,0.2024
30,compromise,0.3532
31,attraction,0.1094
31,compromise,0.1819
32,attraction,0.0704
32,compromise,-0.0577
33,attraction,-0.0645
33,compromise,0.0299
34,attraction,-0.0174
34,compromise,0.0183
35,attraction,0.2414
35,compromise,0.2993
36,attraction,0.2639
36,compromise,0.386
37,attraction,0.171
37,compromise,0.1413
38,attraction,0.0368
38,compromise,-0.0065
39,attraction,-0.1787
39,compromise,-0.2092
41,attraction,-0.094
41,compromise,-0.0217
42,attraction,0.0845
42,compromise,0.0825
43,attraction,0.1086
43,compromise,0.0433
