,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.57,0.021,0.526,0.61,0.0,0.0,2143.0,2143.0,2134.0,1368.0,1.0,
mu[1],0.1,0.027,0.047,0.154,0.001,0.0,1739.0,1739.0,1759.0,1273.0,1.0,
r,-0.228,0.145,-0.499,0.052,0.003,0.003,1819.0,1310.0,1799.0,1355.0,1.0,0.0585
lambda1,57.3,12.964,34.694,83.584,0.288,0.209,2021.0,1920.0,2018.0,1537.0,1.0,
lambda2,36.824,8.257,20.351,52.041,0.216,0.153,1455.0,1455.0,1417.0,1331.0,1.0,
sigma1,0.135,0.016,0.106,0.165,0.0,0.0,2000.0,1955.0,2018.0,1537.0,1.0,
sigma2,0.168,0.019,0.134,0.211,0.001,0.0,1309.0,1253.0,1417.0,1331.0,1.0,
"cov[0,0]",0.018,0.004,0.011,0.027,0.0,0.0,1955.0,1832.0,2018.0,1537.0,1.0,
"cov[0,1]",-0.005,0.004,-0.013,0.001,0.0,0.0,1273.0,924.0,1497.0,967.0,1.0,
"cov[1,0]",-0.005,0.004,-0.013,0.001,0.0,0.0,1273.0,924.0,1497.0,967.0,1.0,
"cov[1,1]",0.029,0.007,0.017,0.043,0.0,0.0,1253.0,1156.0,1417.0,1331.0,1.0,
