,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.526,0.024,0.481,0.574,0.001,0.0,1899.0,1899.0,1894.0,1508.0,1.0,
mu[1],0.138,0.03,0.078,0.194,0.001,0.0,2244.0,2226.0,2252.0,1542.0,1.0,
r,0.11,0.149,-0.182,0.388,0.003,0.003,2416.0,1522.0,2375.0,1391.0,1.0,0.76
lambda1,47.526,11.006,27.039,68.087,0.226,0.163,2377.0,2287.0,2359.0,1417.0,1.0,
lambda2,30.263,6.669,19.093,44.488,0.141,0.101,2226.0,2196.0,2206.0,1629.0,1.0,
sigma1,0.148,0.018,0.118,0.186,0.0,0.0,2264.0,2169.0,2359.0,1417.0,1.0,
sigma2,0.185,0.021,0.149,0.226,0.0,0.0,2135.0,2073.0,2206.0,1629.0,1.0,
"cov[0,0]",0.022,0.006,0.014,0.034,0.0,0.0,2169.0,1943.0,2359.0,1417.0,1.0,
"cov[0,1]",0.003,0.004,-0.006,0.012,0.0,0.0,2079.0,1285.0,2179.0,1262.0,1.0,
"cov[1,0]",0.003,0.004,-0.006,0.012,0.0,0.0,2079.0,1285.0,2179.0,1262.0,1.0,
"cov[1,1]",0.035,0.008,0.022,0.051,0.0,0.0,2073.0,1929.0,2206.0,1629.0,1.0,
