subject,model
0,glickman1layer
1,glickman1layer
2,glickman1layer
3,glickman1layer
4,glickman1layer
5,glickman1layer
6,glickman1layer
7,glickman1layer
8,glickman1layer
9,glickman1layer
10,glickman1layer
11,glickman1layer
12,glickman1layer
13,glickman1layer
14,glickman1layer
15,glickman1layer
16,glickman1layer
17,glickman1layer
18,glickman1layer
19,glickman1layer
20,glickman1layer
21,glickman1layer
22,glickman1layer
23,glickman1layer
24,glickman1layer
26,glickman1layer
27,glickman1layer
30,mdft
31,glickman1layer
32,mdft
33,glickman1layer
34,glickman1layer
35,mdft
36,glickman1layer
37,glickman1layer
38,glickman1layer
39,glickman1layer
41,gaze-baseline-dyn
42,glickman1layer
43,glickman1layer
