,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.571,0.022,0.528,0.611,0.001,0.0,1174.0,1168.0,1177.0,1090.0,1.0,
mu[1],0.492,0.011,0.47,0.511,0.0,0.0,1082.0,1079.0,1083.0,1198.0,1.0,
r,0.756,0.071,0.621,0.89,0.002,0.002,1072.0,1059.0,1038.0,1177.0,1.0,1.0
lambda1,59.463,13.59,34.87,87.664,0.422,0.298,1037.0,1037.0,994.0,938.0,1.0,
lambda2,241.4,53.442,148.756,349.253,1.721,1.217,965.0,965.0,944.0,1221.0,1.0,
sigma1,0.132,0.015,0.104,0.163,0.001,0.0,948.0,917.0,994.0,938.0,1.0,
sigma2,0.066,0.008,0.052,0.08,0.0,0.0,913.0,896.0,944.0,1221.0,1.0,
"cov[0,0]",0.018,0.004,0.011,0.026,0.0,0.0,917.0,859.0,994.0,938.0,1.0,
"cov[0,1]",0.007,0.002,0.004,0.01,0.0,0.0,728.0,728.0,737.0,937.0,1.0,
"cov[1,0]",0.007,0.002,0.004,0.01,0.0,0.0,728.0,728.0,737.0,937.0,1.0,
"cov[1,1]",0.004,0.001,0.003,0.006,0.0,0.0,896.0,876.0,944.0,1221.0,1.0,
