,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.527,0.024,0.479,0.575,0.001,0.001,1068.0,1068.0,1089.0,945.0,1.0,
mu[1],0.511,0.014,0.482,0.537,0.0,0.0,1030.0,1030.0,1038.0,1034.0,1.01,
r,0.824,0.054,0.717,0.915,0.002,0.001,1101.0,1096.0,1075.0,1276.0,1.0,1.0
lambda1,49.613,11.315,27.894,70.333,0.352,0.249,1035.0,1035.0,1017.0,1009.0,1.0,
lambda2,144.755,33.48,85.928,212.242,1.099,0.777,929.0,929.0,912.0,1021.0,1.0,
sigma1,0.145,0.017,0.113,0.177,0.001,0.0,999.0,984.0,1017.0,1009.0,1.0,
sigma2,0.085,0.01,0.067,0.105,0.0,0.0,889.0,867.0,912.0,1021.0,1.0,
"cov[0,0]",0.021,0.005,0.013,0.031,0.0,0.0,984.0,915.0,1017.0,1009.0,1.0,
"cov[0,1]",0.01,0.003,0.006,0.016,0.0,0.0,771.0,732.0,855.0,871.0,1.0,
"cov[1,0]",0.01,0.003,0.006,0.016,0.0,0.0,771.0,732.0,855.0,871.0,1.0,
"cov[1,1]",0.007,0.002,0.004,0.011,0.0,0.0,867.0,831.0,912.0,1021.0,1.0,
