,subject,model,bic,integration,comparison,gb_alt,gb_att,leak,inhibition
720,0,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,218.1867201935432,multiplicative,vsmean,True,False,free,distance-dependent
6401,1,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,269.46251525015424,additive,n.d.,True,False,free,none
722,2,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,171.26187528792119,multiplicative,vsmean,True,False,free,distance-dependent
2203,3,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-gaze-dependent,228.54419785357948,multiplicative,absolute,False,False,free,gaze-dependent
2244,4,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-none,339.6372119998274,multiplicative,absolute,False,False,gaze-dependent,none
885,5,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-distance-dependent,182.688399951847,multiplicative,vsmean,True,False,gaze-dependent,distance-dependent
2566,6,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,173.93958246954386,multiplicative,n.d.,True,False,free,none
727,7,sb_int-multiplicative_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,176.15858204516772,multiplicative,vsmean,True,False,free,distance-dependent
2568,8,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,241.97128803396325,multiplicative,n.d.,True,False,free,none
2569,9,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,130.99977096749208,multiplicative,n.d.,True,False,free,none
2570,10,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,259.5011941152551,multiplicative,n.d.,True,False,free,none
2571,11,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,196.33512562010003,multiplicative,n.d.,True,False,free,none
2572,12,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,255.86234669734736,multiplicative,n.d.,True,False,free,none
