,subject,bic,integration,comparison,gb_alt,gb_att,leak,inhibition
720,0,218.19,multiplicative,vsmean,True,False,free,distance-dependent
6401,1,269.46,additive,n.d.,True,False,free,none
722,2,171.26,multiplicative,vsmean,True,False,free,distance-dependent
2203,3,228.54,multiplicative,absolute,False,False,free,gaze-dependent
2244,4,339.64,multiplicative,absolute,False,False,gaze-dependent,none
885,5,182.69,multiplicative,vsmean,True,False,gaze-dependent,distance-dependent
2566,6,173.94,multiplicative,n.d.,True,False,free,none
727,7,176.16,multiplicative,vsmean,True,False,free,distance-dependent
2568,8,241.97,multiplicative,n.d.,True,False,free,none
2569,9,131.0,multiplicative,n.d.,True,False,free,none
2570,10,259.5,multiplicative,n.d.,True,False,free,none
2571,11,196.34,multiplicative,n.d.,True,False,free,none
2572,12,255.86,multiplicative,n.d.,True,False,free,none
2573,13,191.84,multiplicative,n.d.,True,False,free,none
734,14,268.17,multiplicative,vsmean,True,False,free,distance-dependent
2575,15,293.01,multiplicative,n.d.,True,False,free,none
2576,16,183.67,multiplicative,n.d.,True,False,free,none
6417,17,268.59,additive,n.d.,True,False,free,none
2578,18,214.76,multiplicative,n.d.,True,False,free,none
739,19,274.03,multiplicative,vsmean,True,False,free,distance-dependent
820,20,107.68,multiplicative,vsmean,True,False,gaze-dependent,none
2581,21,104.58,multiplicative,n.d.,True,False,free,none
742,22,280.41,multiplicative,vsmean,True,False,free,distance-dependent
2263,23,232.22,multiplicative,absolute,False,False,gaze-dependent,none
2584,24,173.38,multiplicative,n.d.,True,False,free,none
2225,26,148.58,multiplicative,absolute,False,False,free,gaze-dependent
2586,27,259.15,multiplicative,n.d.,True,False,free,none
2267,30,232.61,multiplicative,absolute,False,False,gaze-dependent,none
868,31,74.01,multiplicative,vsmean,True,False,gaze-dependent,free
749,32,263.01,multiplicative,vsmean,True,False,free,distance-dependent
2590,33,289.6,multiplicative,n.d.,True,False,free,none
751,34,269.4,multiplicative,vsmean,True,False,free,distance-dependent
752,35,311.48,multiplicative,vsmean,True,False,free,distance-dependent
793,36,170.88,multiplicative,vsmean,True,False,free,gaze-dependent
2594,37,204.85,multiplicative,n.d.,True,False,free,none
2595,38,243.99,multiplicative,n.d.,True,False,free,none
6436,39,277.38,additive,n.d.,True,False,free,none
6437,41,308.89,additive,n.d.,True,False,free,none
2598,42,204.77,multiplicative,n.d.,True,False,free,none
3639,43,298.82,multiplicative,absolute,True,True,free,distance-dependent
