,model,BIC,integration,comparison,gb_att,gb_alt,leak,inhibition
0,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-distance-dependent,422.598,$+$,independent,False,False,Constant,Distance
1,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-free,394.1644,$+$,independent,False,False,Constant,Constant
2,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-gaze-dependent,255.9831,$+$,independent,False,False,Constant,Gaze
3,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-free_inh-none,389.542,$+$,independent,False,False,Constant,None
4,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-distance-dependent,296.9477,$+$,independent,False,False,Gaze,Distance
5,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-free,267.6598,$+$,independent,False,False,Gaze,Constant
6,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,270.5584,$+$,independent,False,False,Gaze,Gaze
7,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-none,265.2106,$+$,independent,False,False,Gaze,None
8,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-distance-dependent,470.7437,$+$,independent,False,False,None,Distance
9,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-free,409.9438,$+$,independent,False,False,None,Constant
10,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-gaze-dependent,340.2655,$+$,independent,False,False,None,Gaze
11,sb_int-additive_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-none,404.5317,$+$,independent,False,False,None,None
12,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,267.6171,$+$,independent,False,True,Constant,Distance
13,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-free,254.4766,$+$,independent,False,True,Constant,Constant
14,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-gaze-dependent,253.9968,$+$,independent,False,True,Constant,Gaze
15,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,249.2496,$+$,independent,False,True,Constant,None
16,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-distance-dependent,278.2623,$+$,independent,False,True,Gaze,Distance
17,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-free,272.3693,$+$,independent,False,True,Gaze,Constant
18,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,274.761,$+$,independent,False,True,Gaze,Gaze
19,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-none,269.3749,$+$,independent,False,True,Gaze,None
20,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-distance-dependent,436.1247,$+$,independent,False,True,None,Distance
21,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-free,352.8159,$+$,independent,False,True,None,Constant
22,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-gaze-dependent,339.213,$+$,independent,False,True,None,Gaze
23,sb_int-additive_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-none,347.3998,$+$,independent,False,True,None,None
24,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-distance-dependent,425.6615,$+$,independent,True,False,Constant,Distance
25,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-free,399.8366,$+$,independent,True,False,Constant,Constant
26,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-gaze-dependent,261.3288,$+$,independent,True,False,Constant,Gaze
27,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-none,394.563,$+$,independent,True,False,Constant,None
28,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-distance-dependent,291.6903,$+$,independent,True,False,Gaze,Distance
29,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-free,272.782,$+$,independent,True,False,Gaze,Constant
30,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,275.8507,$+$,independent,True,False,Gaze,Gaze
31,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-none,270.332,$+$,independent,True,False,Gaze,None
32,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-distance-dependent,456.5667,$+$,independent,True,False,None,Distance
33,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-free,415.0998,$+$,independent,True,False,None,Constant
34,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-gaze-dependent,345.4413,$+$,independent,True,False,None,Gaze
35,sb_int-additive_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-none,409.6861,$+$,independent,True,False,None,None
36,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-distance-dependent,278.4751,$+$,independent,True,True,Constant,Distance
37,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-free,259.9375,$+$,independent,True,True,Constant,Constant
38,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-gaze-dependent,260.1415,$+$,independent,True,True,Constant,Gaze
39,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-none,254.5108,$+$,independent,True,True,Constant,None
40,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-distance-dependent,285.2347,$+$,independent,True,True,Gaze,Distance
41,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-free,277.0573,$+$,independent,True,True,Gaze,Constant
42,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,280.4003,$+$,independent,True,True,Gaze,Gaze
43,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-none,274.567,$+$,independent,True,True,Gaze,None
44,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-distance-dependent,398.8917,$+$,independent,True,True,None,Distance
45,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-free,357.9457,$+$,independent,True,True,None,Constant
46,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-gaze-dependent,344.396,$+$,independent,True,True,None,Gaze
47,sb_int-additive_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-none,352.5295,$+$,independent,True,True,None,None
48,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-distance-dependent,400.6912,$+$,comparative,False,False,Constant,Distance
49,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-free,394.5291,$+$,comparative,False,False,Constant,Constant
50,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-gaze-dependent,379.9232,$+$,comparative,False,False,Constant,Gaze
51,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-free_inh-none,389.1135,$+$,comparative,False,False,Constant,None
52,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-distance-dependent,391.35,$+$,comparative,False,False,Gaze,Distance
53,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-free,379.8954,$+$,comparative,False,False,Gaze,Constant
54,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,379.3009,$+$,comparative,False,False,Gaze,Gaze
55,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-gaze-dependent_inh-none,377.467,$+$,comparative,False,False,Gaze,None
56,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-distance-dependent,443.8576,$+$,comparative,False,False,None,Distance
57,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-free,409.9438,$+$,comparative,False,False,None,Constant
58,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-gaze-dependent,409.1018,$+$,comparative,False,False,None,Gaze
59,sb_int-additive_comp-vsmean_gbatt-false_gbalt-false_lk-none_inh-none,404.5317,$+$,comparative,False,False,None,None
60,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,258.2794,$+$,comparative,False,True,Constant,Distance
61,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-free,252.1394,$+$,comparative,False,True,Constant,Constant
62,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-gaze-dependent,251.9956,$+$,comparative,False,True,Constant,Gaze
63,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-free_inh-none,246.7233,$+$,comparative,False,True,Constant,None
64,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-distance-dependent,266.7685,$+$,comparative,False,True,Gaze,Distance
65,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-free,259.7617,$+$,comparative,False,True,Gaze,Constant
66,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,259.8486,$+$,comparative,False,True,Gaze,Gaze
67,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-gaze-dependent_inh-none,254.4428,$+$,comparative,False,True,Gaze,None
68,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-distance-dependent,407.1853,$+$,comparative,False,True,None,Distance
69,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-free,352.8159,$+$,comparative,False,True,None,Constant
70,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-gaze-dependent,352.8159,$+$,comparative,False,True,None,Gaze
71,sb_int-additive_comp-vsmean_gbatt-false_gbalt-true_lk-none_inh-none,347.3998,$+$,comparative,False,True,None,None
72,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-distance-dependent,411.7125,$+$,comparative,True,False,Constant,Distance
73,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-free,399.3367,$+$,comparative,True,False,Constant,Constant
74,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-gaze-dependent,385.0091,$+$,comparative,True,False,Constant,Gaze
75,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-free_inh-none,393.925,$+$,comparative,True,False,Constant,None
76,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-distance-dependent,396.0539,$+$,comparative,True,False,Gaze,Distance
77,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-free,384.945,$+$,comparative,True,False,Gaze,Constant
78,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,384.3527,$+$,comparative,True,False,Gaze,Gaze
79,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-gaze-dependent_inh-none,382.58,$+$,comparative,True,False,Gaze,None
80,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-distance-dependent,463.0232,$+$,comparative,True,False,None,Distance
81,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-free,415.1035,$+$,comparative,True,False,None,Constant
82,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-gaze-dependent,414.3811,$+$,comparative,True,False,None,Gaze
83,sb_int-additive_comp-vsmean_gbatt-true_gbalt-false_lk-none_inh-none,409.6861,$+$,comparative,True,False,None,None
84,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-distance-dependent,258.6846,$+$,comparative,True,True,Constant,Distance
85,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-free,257.3221,$+$,comparative,True,True,Constant,Constant
86,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-gaze-dependent,257.1212,$+$,comparative,True,True,Constant,Gaze
87,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-free_inh-none,251.9052,$+$,comparative,True,True,Constant,None
88,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-distance-dependent,274.2074,$+$,comparative,True,True,Gaze,Distance
89,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-free,264.7502,$+$,comparative,True,True,Gaze,Constant
90,sb_int-additive_comp-vsmean_gbatt-true_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,264.8376,$+$,comparative,True,True,Gaze,Gaze
