subject,model
0,gaze-baseline-dyn
1,glickman1layerduration
2,glickman1layerduration
3,glickman1layerduration
4,glickman1layerduration
5,glickman1layerduration
6,glickman1layerduration
7,glickman1layerduration
8,glickman1layerduration
9,glickman1layerduration
10,glickman1layerduration
11,glickman1layerduration
12,glickman1layerduration
13,glickman1layerduration
14,glickman1layerduration
15,glickman1layerduration
16,glickman1layerduration
17,glickman1layerduration
18,glickman1layerduration
19,glickman1layerduration
20,glickman1layerduration
21,glickman1layerduration
22,glickman1layerduration
23,glickman1layerduration
24,glickman1layerduration
26,gaze-baseline-dyn
27,glickman1layerduration
30,mdft
31,glickman1layerduration
32,mdft
33,glickman1layerduration
34,glickman1layerduration
35,mdft
36,glickman1layerduration
37,glickman1layerduration
38,glickman1layerduration
39,glickman1layerduration
41,gaze-baseline-dyn
42,glickman1layerduration
43,glickman1layerduration
