,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.571,0.021,0.532,0.616,0.001,0.0,983.0,980.0,981.0,1204.0,1.0,
mu[1],0.488,0.011,0.468,0.511,0.0,0.0,838.0,838.0,825.0,1225.0,1.0,
r,0.714,0.08,0.562,0.862,0.002,0.002,1296.0,1277.0,1252.0,1307.0,1.0,1.0
lambda1,58.775,13.455,35.614,86.819,0.377,0.267,1274.0,1274.0,1233.0,1243.0,1.0,
lambda2,212.287,47.742,127.056,306.661,1.261,0.892,1434.0,1434.0,1394.0,1331.0,1.0,
sigma1,0.133,0.016,0.105,0.163,0.0,0.0,1192.0,1165.0,1233.0,1243.0,1.0,
sigma2,0.07,0.008,0.055,0.086,0.0,0.0,1334.0,1307.0,1394.0,1331.0,1.0,
"cov[0,0]",0.018,0.004,0.011,0.027,0.0,0.0,1165.0,1114.0,1233.0,1243.0,1.0,
"cov[0,1]",0.007,0.002,0.003,0.011,0.0,0.0,982.0,915.0,1059.0,1045.0,1.0,
"cov[1,0]",0.007,0.002,0.003,0.011,0.0,0.0,982.0,915.0,1059.0,1045.0,1.0,
"cov[1,1]",0.005,0.001,0.003,0.007,0.0,0.0,1307.0,1233.0,1394.0,1331.0,1.0,
