,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.526,0.023,0.481,0.568,0.001,0.001,876.0,876.0,872.0,867.0,1.0,
mu[1],0.506,0.014,0.478,0.532,0.0,0.0,943.0,943.0,956.0,950.0,1.0,
r,0.824,0.055,0.706,0.912,0.002,0.001,989.0,970.0,883.0,683.0,1.0,1.0
lambda1,49.937,11.437,29.928,73.135,0.359,0.254,1015.0,1015.0,988.0,968.0,1.0,
lambda2,140.741,31.911,84.388,205.682,1.061,0.751,904.0,904.0,857.0,1040.0,1.0,
sigma1,0.144,0.017,0.111,0.175,0.001,0.0,959.0,937.0,988.0,968.0,1.0,
sigma2,0.086,0.01,0.068,0.105,0.0,0.0,802.0,766.0,857.0,1040.0,1.0,
"cov[0,0]",0.021,0.005,0.012,0.031,0.0,0.0,937.0,894.0,988.0,968.0,1.0,
"cov[0,1]",0.01,0.003,0.005,0.015,0.0,0.0,719.0,661.0,784.0,988.0,1.0,
"cov[1,0]",0.01,0.003,0.005,0.015,0.0,0.0,719.0,661.0,784.0,988.0,1.0,
"cov[1,1]",0.007,0.002,0.005,0.011,0.0,0.0,766.0,693.0,857.0,1040.0,1.0,
