subject,model
0,gaze-baseline-dyn
1,glickman1layernoleak
2,mdft
3,gaze-baseline-dyn
4,gaze-baseline-dyn
5,gaze-baseline-dyn
6,mdft
7,mdft
8,mdft
9,gaze-baseline-dyn
10,gaze-baseline-dyn
11,gaze-baseline-dyn
12,glickman1layernoleak
13,gaze-baseline-dyn
14,gaze-baseline-dyn
15,gaze-baseline-dyn
16,gaze-baseline-dyn
17,glickman1layernoleak
18,glickman1layernoleak
19,gaze-baseline-dyn
20,gaze-baseline-dyn
21,gaze-baseline-dyn
22,gaze-baseline-dyn
23,glickman1layernoleak
24,glickman1layernoleak
26,gaze-baseline-dyn
27,glickman1layernoleak
30,mdft
31,gaze-baseline-dyn
32,mdft
33,mdft
34,mdft
35,mdft
36,glickman1layernoleak
37,gaze-baseline-dyn
38,gaze-baseline-dyn
39,pt
41,gaze-baseline-dyn
42,gaze-baseline-dyn
43,gaze-baseline-dyn
