,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.572,0.021,0.53,0.614,0.001,0.0,1160.0,1152.0,1168.0,1129.0,1.0,
mu[1],0.477,0.006,0.466,0.489,0.0,0.0,1178.0,1176.0,1193.0,1395.0,1.0,
r,0.663,0.094,0.485,0.839,0.003,0.002,1098.0,1082.0,1063.0,1395.0,1.0,1.0
lambda1,58.397,13.206,35.202,84.878,0.383,0.271,1190.0,1190.0,1167.0,1113.0,1.0,
lambda2,700.137,158.098,437.888,1033.954,4.627,3.273,1168.0,1168.0,1141.0,1267.0,1.0,
sigma1,0.133,0.016,0.108,0.166,0.0,0.0,1122.0,1094.0,1167.0,1113.0,1.0,
sigma2,0.039,0.004,0.031,0.047,0.0,0.0,1115.0,1093.0,1141.0,1267.0,1.0,
"cov[0,0]",0.018,0.004,0.011,0.027,0.0,0.0,1094.0,1047.0,1167.0,1113.0,1.0,
"cov[0,1]",0.003,0.001,0.002,0.006,0.0,0.0,851.0,786.0,902.0,828.0,1.0,
"cov[1,0]",0.003,0.001,0.002,0.006,0.0,0.0,851.0,786.0,902.0,828.0,1.0,
"cov[1,1]",0.002,0.0,0.001,0.002,0.0,0.0,1093.0,1012.0,1141.0,1267.0,1.0,
