,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,p>0
mu[0],0.526,0.023,0.481,0.569,0.001,0.0,1188.0,1188.0,1193.0,1314.0,1.0,
mu[1],0.503,0.011,0.482,0.525,0.0,0.0,1165.0,1162.0,1171.0,1233.0,1.0,
r,0.645,0.095,0.471,0.823,0.003,0.002,1355.0,1312.0,1291.0,1095.0,1.0,1.0
lambda1,48.398,11.183,27.273,70.398,0.291,0.206,1474.0,1474.0,1425.0,1301.0,1.0,
lambda2,213.253,49.312,120.351,307.643,1.34,0.947,1355.0,1355.0,1348.0,1351.0,1.0,
sigma1,0.147,0.017,0.113,0.179,0.0,0.0,1372.0,1338.0,1425.0,1301.0,1.0,
sigma2,0.07,0.009,0.056,0.088,0.0,0.0,1331.0,1326.0,1348.0,1351.0,1.0,
"cov[0,0]",0.022,0.005,0.013,0.032,0.0,0.0,1338.0,1284.0,1425.0,1301.0,1.0,
"cov[0,1]",0.007,0.002,0.003,0.011,0.0,0.0,1027.0,975.0,1083.0,980.0,1.0,
"cov[1,0]",0.007,0.002,0.003,0.011,0.0,0.0,1027.0,975.0,1083.0,980.0,1.0,
"cov[1,1]",0.005,0.001,0.003,0.007,0.0,0.0,1326.0,1326.0,1348.0,1351.0,1.0,
