,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu[0],0.57,0.022,0.529,0.614,0.0,0.0,2656.0,2626.0,2689.0,1267.0,1.0
mu[1],7.491,0.467,6.621,8.411,0.01,0.007,2098.0,2083.0,2114.0,1608.0,1.0
r,0.064,0.157,-0.259,0.359,0.003,0.003,2120.0,1338.0,2116.0,1643.0,1.0
lambda1,56.821,12.733,33.403,81.779,0.245,0.184,2711.0,2396.0,2818.0,1276.0,1.0
lambda2,0.115,0.027,0.067,0.171,0.001,0.0,1808.0,1718.0,1828.0,1379.0,1.0
sigma1,0.135,0.016,0.109,0.169,0.0,0.0,2801.0,2700.0,2818.0,1276.0,1.0
sigma2,3.009,0.366,2.381,3.761,0.009,0.006,1728.0,1656.0,1828.0,1379.0,1.0
"cov[0,0]",0.019,0.004,0.011,0.028,0.0,0.0,2700.0,2392.0,2818.0,1276.0,1.0
"cov[0,1]",0.027,0.07,-0.125,0.162,0.002,0.001,1901.0,1431.0,1979.0,1635.0,1.0
"cov[1,0]",0.027,0.07,-0.125,0.162,0.002,0.001,1901.0,1431.0,1979.0,1635.0,1.0
"cov[1,1]",9.191,2.297,5.668,14.147,0.056,0.042,1656.0,1494.0,1828.0,1379.0,1.0
