,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu[0],0.571,0.021,0.527,0.612,0.0,0.0,1921.0,1913.0,1934.0,1176.0,1.0
mu[1],26.761,1.539,23.762,29.983,0.033,0.024,2128.0,2128.0,2146.0,1577.0,1.0
r,0.062,0.154,-0.253,0.345,0.003,0.003,2900.0,1271.0,2886.0,1666.0,1.0
lambda1,57.126,12.759,33.568,83.075,0.267,0.194,2280.0,2166.0,2325.0,1589.0,1.0
lambda2,0.011,0.003,0.007,0.016,0.0,0.0,2456.0,2456.0,2381.0,1713.0,1.0
sigma1,0.135,0.016,0.106,0.165,0.0,0.0,2321.0,2288.0,2325.0,1589.0,1.0
sigma2,9.715,1.143,7.689,12.0,0.024,0.017,2242.0,2144.0,2381.0,1713.0,1.0
"cov[0,0]",0.018,0.004,0.011,0.027,0.0,0.0,2288.0,2173.0,2325.0,1589.0,1.0
"cov[0,1]",0.082,0.211,-0.335,0.488,0.004,0.004,2566.0,1361.0,2587.0,1446.0,1.0
"cov[1,0]",0.082,0.211,-0.335,0.488,0.004,0.004,2566.0,1361.0,2587.0,1446.0,1.0
"cov[1,1]",95.694,22.973,54.654,138.967,0.496,0.367,2144.0,1961.0,2381.0,1713.0,1.0
