,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu[0],0.571,0.022,0.529,0.612,0.0,0.0,2635.0,2624.0,2616.0,1628.0,1.0
mu[1],15.887,1.288,13.548,18.513,0.025,0.018,2691.0,2691.0,2717.0,1546.0,1.0
r,0.035,0.154,-0.276,0.31,0.003,0.003,2218.0,1169.0,2227.0,1377.0,1.0
lambda1,57.242,13.078,32.784,83.414,0.243,0.174,2886.0,2840.0,2826.0,1813.0,1.0
lambda2,0.016,0.004,0.009,0.024,0.0,0.0,2440.0,2257.0,2473.0,1515.0,1.0
sigma1,0.135,0.016,0.106,0.166,0.0,0.0,2650.0,2443.0,2826.0,1813.0,1.0
sigma2,7.972,0.963,6.256,9.868,0.02,0.014,2394.0,2271.0,2473.0,1515.0,1.0
"cov[0,0]",0.018,0.004,0.011,0.027,0.0,0.0,2443.0,2108.0,2826.0,1813.0,1.0
"cov[0,1]",0.038,0.175,-0.309,0.385,0.004,0.003,1924.0,1257.0,1974.0,1555.0,1.0
"cov[1,0]",0.038,0.175,-0.309,0.385,0.004,0.003,1924.0,1257.0,1974.0,1555.0,1.0
"cov[1,1]",64.484,16.024,39.132,97.377,0.336,0.251,2271.0,2046.0,2473.0,1515.0,1.0
