,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu[0],0.571,0.021,0.53,0.611,0.0,0.0,2344.0,2333.0,2326.0,1582.0,1.0
mu[1],21.148,1.342,18.42,23.701,0.028,0.02,2316.0,2316.0,2350.0,1603.0,1.0
r,0.107,0.152,-0.195,0.396,0.003,0.003,3085.0,1599.0,3136.0,1572.0,1.0
lambda1,57.692,13.267,35.443,86.375,0.285,0.217,2174.0,1864.0,2340.0,964.0,1.0
lambda2,0.014,0.003,0.008,0.021,0.0,0.0,2058.0,1871.0,2142.0,1379.0,1.0
sigma1,0.134,0.016,0.104,0.163,0.0,0.0,2403.0,2392.0,2340.0,964.0,1.0
sigma2,8.608,1.015,6.777,10.628,0.022,0.016,2128.0,2065.0,2142.0,1379.0,1.0
"cov[0,0]",0.018,0.004,0.011,0.026,0.0,0.0,2392.0,2257.0,2340.0,964.0,1.0
"cov[0,1]",0.125,0.192,-0.247,0.509,0.004,0.003,2692.0,1524.0,2776.0,1683.0,1.0
"cov[1,0]",0.125,0.192,-0.247,0.509,0.004,0.003,2692.0,1524.0,2776.0,1683.0,1.0
"cov[1,1]",75.129,18.108,43.531,109.897,0.399,0.295,2065.0,1889.0,2142.0,1379.0,1.0
