,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
col_c,-20.653,3.533,-27.852,-13.829,0.105,0.074,1140.0,1140.0,1136.0,2645.0,1.0,0.0
row_c,-66.4,7.019,-80.354,-52.817,0.229,0.162,942.0,939.0,944.0,1732.0,1.0,0.0
rank_c,2.547,1.23,0.118,4.914,0.012,0.009,10847.0,9020.0,10860.0,6131.0,1.0,0.9805
is_target,6.333,2.943,0.59,12.154,0.04,0.029,5525.0,5164.0,5546.0,5594.0,1.0,0.9855
is_decoy,-20.392,8.019,-36.924,-5.512,0.277,0.197,838.0,832.0,834.0,2074.0,1.0,0.006375
is_probability,-3.588,2.306,-8.013,1.093,0.029,0.022,6296.0,5623.0,6338.0,5592.0,1.0,0.060125
is_chosen,48.343,4.603,39.201,57.358,0.103,0.073,1982.0,1982.0,1980.0,3525.0,1.0,1.0
col_c:time_bin_c,23.726,4.2,15.397,32.023,0.17,0.121,608.0,608.0,607.0,1016.0,1.01,1.0
row_c:time_bin_c,14.691,2.095,10.582,18.739,0.034,0.024,3712.0,3712.0,3719.0,4994.0,1.0,1.0
rank_c:time_bin_c,-0.281,0.869,-2.006,1.395,0.008,0.01,10464.0,4058.0,10471.0,6280.0,1.0,0.374375
is_target:time_bin_c,0.695,1.802,-2.939,4.22,0.021,0.019,7493.0,4674.0,7507.0,5395.0,1.0,0.656625
is_decoy:time_bin_c,-8.399,3.943,-16.203,-0.972,0.107,0.076,1359.0,1359.0,1355.0,2783.0,1.0,0.016875
is_probability:time_bin_c,-2.337,1.564,-5.485,0.616,0.019,0.014,6618.0,5958.0,6627.0,5196.0,1.0,0.067625
is_chosen:time_bin_c,30.052,2.753,24.625,35.494,0.053,0.037,2709.0,2709.0,2726.0,4253.0,1.0,1.0
time_bin_c,-14.186,1.631,-17.319,-10.922,0.02,0.014,6554.0,6483.0,6564.0,5655.0,1.0,0.0
