,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
col_c,-18.956,3.346,-25.537,-12.611,0.094,0.066,1277.0,1275.0,1279.0,2762.0,1.0,0.0
row_c,-65.136,7.755,-79.516,-49.178,0.287,0.203,728.0,728.0,726.0,1696.0,1.0,0.0
rank_c,1.14,1.122,-1.037,3.318,0.01,0.009,12893.0,7398.0,12908.0,5953.0,1.0,0.845
is_target,11.19,2.385,6.567,15.85,0.024,0.018,9722.0,9075.0,9745.0,5588.0,1.0,1.0
is_decoy,-12.455,3.873,-20.244,-4.991,0.07,0.049,3093.0,3093.0,3099.0,4871.0,1.0,0.000875
is_probability,-6.254,3.65,-13.699,0.591,0.071,0.05,2662.0,2662.0,2660.0,4447.0,1.0,0.043375
is_chosen,58.839,4.87,49.552,68.458,0.111,0.078,1938.0,1938.0,1938.0,3560.0,1.0,1.0
col_c:time_bin_c,24.521,3.699,17.296,31.758,0.144,0.102,659.0,659.0,662.0,1405.0,1.0,1.0
row_c:time_bin_c,15.359,2.125,11.12,19.423,0.033,0.024,4038.0,4038.0,4040.0,5089.0,1.0,1.0
rank_c:time_bin_c,0.212,0.841,-1.453,1.808,0.007,0.01,13919.0,3590.0,13939.0,5986.0,1.0,0.599625
is_target:time_bin_c,5.379,1.715,2.148,8.82,0.019,0.013,8518.0,8225.0,8531.0,6603.0,1.0,0.99875
is_decoy:time_bin_c,-10.734,2.9,-16.427,-4.921,0.058,0.041,2476.0,2476.0,2474.0,4047.0,1.0,0.0
is_probability:time_bin_c,-3.153,1.652,-6.477,0.024,0.02,0.015,6639.0,5972.0,6677.0,5544.0,1.0,0.027
is_chosen:time_bin_c,36.31,3.108,30.305,42.686,0.07,0.05,1965.0,1965.0,1963.0,3279.0,1.0,1.0
time_bin_c,-17.205,1.723,-20.746,-13.981,0.024,0.017,5283.0,5267.0,5303.0,5553.0,1.0,0.0
