,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
col_c[0],-67.501,10.624,-87.579,-46.48,0.332,0.234,1027.0,1027.0,1028.0,2079.0,1.0,0.0
row_c[0],-95.555,8.679,-112.285,-78.417,0.201,0.142,1870.0,1870.0,1866.0,3873.0,1.0,0.0
rank_c[0],3.151,2.068,-0.955,7.064,0.02,0.017,10716.0,7738.0,10718.0,6489.0,1.0,0.93425
is_target[0],4.927,4.271,-3.636,13.108,0.046,0.037,8773.0,6807.0,8765.0,6181.0,1.0,0.87775
is_decoy[0],-3.252,4.783,-12.841,5.836,0.051,0.044,8856.0,6009.0,8858.0,5897.0,1.0,0.24875
is_probability[0],1.416,3.312,-4.991,7.943,0.037,0.033,8137.0,5096.0,8156.0,5660.0,1.0,0.66525
is_chosen[0],-11.096,4.636,-20.334,-2.239,0.049,0.036,8814.0,8352.0,8833.0,6152.0,1.0,0.009375
col_c:time_bin[0],23.485,3.875,16.21,31.371,0.103,0.073,1412.0,1412.0,1418.0,2117.0,1.0,1.0
row_c:time_bin[0],14.716,1.84,11.235,18.388,0.023,0.016,6478.0,6440.0,6491.0,6100.0,1.0,1.0
rank_c:time_bin[0],-0.315,0.845,-2.049,1.275,0.008,0.009,10059.0,4693.0,10062.0,6137.0,1.0,0.35525
is_target:time_bin[0],0.67,1.609,-2.578,3.725,0.018,0.017,7591.0,4752.0,7590.0,6434.0,1.0,0.662375
is_decoy:time_bin[0],-8.572,3.81,-15.903,-0.824,0.081,0.057,2206.0,2206.0,2208.0,3612.0,1.0,0.01525
is_probability:time_bin[0],-2.542,1.221,-4.795,-0.077,0.012,0.009,10184.0,9361.0,10219.0,5579.0,1.0,0.020125
is_chosen:time_bin[0],29.701,2.348,25.082,34.303,0.03,0.021,6009.0,6009.0,5985.0,6096.0,1.0,1.0
time_bin[0],-13.729,1.511,-16.648,-10.765,0.017,0.012,7788.0,7570.0,7781.0,5900.0,1.0,0.0
