,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,P>0
col_c[0],-67.822,9.976,-86.804,-47.71,0.36,0.254,770.0,770.0,768.0,1652.0,1.01,0.0
row_c[0],-95.908,9.337,-114.829,-78.176,0.244,0.173,1462.0,1462.0,1462.0,2602.0,1.01,0.0
rank_c[0],0.702,1.903,-2.996,4.328,0.02,0.019,9150.0,4820.0,9135.0,6254.0,1.0,0.640625
is_target[0],0.828,3.897,-6.576,8.589,0.045,0.043,7459.0,4113.0,7462.0,5965.0,1.0,0.577125
is_decoy[0],9.218,4.492,0.041,17.707,0.057,0.04,6286.0,6266.0,6271.0,5772.0,1.0,0.980875
is_probability[0],0.603,4.537,-8.032,9.684,0.068,0.048,4504.0,4495.0,4500.0,4895.0,1.0,0.551625
is_chosen[0],-12.951,4.636,-21.994,-3.864,0.058,0.043,6494.0,5913.0,6534.0,5690.0,1.0,0.003625
col_c:time_bin[0],24.502,3.624,17.383,31.537,0.109,0.077,1112.0,1112.0,1111.0,2127.0,1.0,1.0
row_c:time_bin[0],15.377,1.878,11.686,19.026,0.023,0.016,6561.0,6505.0,6567.0,5993.0,1.0,1.0
rank_c:time_bin[0],0.219,0.774,-1.29,1.682,0.008,0.008,8989.0,4488.0,8993.0,6451.0,1.0,0.6085
is_target:time_bin[0],5.064,1.58,2.108,8.263,0.019,0.013,7256.0,7032.0,7269.0,6075.0,1.0,0.9995
is_decoy:time_bin[0],-11.037,2.473,-15.935,-6.279,0.04,0.028,3852.0,3852.0,3855.0,4935.0,1.0,0.0
is_probability:time_bin[0],-3.447,1.326,-6.079,-0.92,0.013,0.01,9831.0,9193.0,9835.0,6216.0,1.0,0.005125
is_chosen:time_bin[0],35.963,2.683,30.526,41.118,0.048,0.034,3140.0,3135.0,3144.0,4800.0,1.0,1.0
time_bin[0],-16.634,1.623,-19.767,-13.395,0.021,0.015,6076.0,6028.0,6066.0,5846.0,1.0,0.0
