subject,effect,n_horizontal,n_vertical,n_diagonal,payne_index,n_target_competitor,n_target_decoy,n_competitor_decoy
0,attraction,9.2917,9.6667,3.9375,0.1153,4.375,6.0312,2.8229
0,compromise,8.0938,10.9688,3.3854,0.2723,4.4167,4.4896,2.5729
1,attraction,6.8646,4.4896,2.3125,-0.0605,2.9271,3.3333,2.9167
1,compromise,6.2083,5.4792,2.2083,0.0711,3.2396,2.5729,2.6042
2,attraction,7.5208,5.9792,2.7292,0.0727,3.625,3.6146,3.0104
2,compromise,7.4271,5.1979,2.5625,-0.0408,4.1771,3.2604,2.5521
3,attraction,4.8646,3.4792,2.4583,-0.0873,2.6667,2.6146,2.0417
3,compromise,4.8333,3.9375,2.0938,0.0158,2.2292,2.6146,2.0833
4,attraction,6.8854,4.2083,3.5,-0.1947,3.0833,4.2812,3.0208
4,compromise,7.1042,4.5104,3.4896,-0.1252,3.7188,3.875,3.0
5,attraction,8.25,10.2708,2.6562,0.3054,4.3646,4.0208,2.5208
5,compromise,7.7292,8.9896,1.6458,0.2868,3.7812,3.1667,2.4271
6,attraction,8.6277,13.883,2.8723,0.4363,4.7447,3.9574,2.7979
6,compromise,8.0208,14.1354,2.7188,0.462,3.7083,3.8021,3.2292
7,attraction,10.4479,6.9271,2.3229,-0.0052,4.1979,5.1771,3.3958
7,compromise,11.8229,8.3542,2.9375,0.0477,6.0104,4.9271,3.8229
8,attraction,8.3854,8.2188,2.6354,0.1739,4.1771,3.7083,3.1354
8,compromise,7.875,7.5417,1.8125,0.187,4.3125,3.3229,2.0521
9,attraction,4.9583,5.4583,1.5938,0.2541,2.4167,2.4167,1.7188
9,compromise,4.5729,5.8958,1.125,0.3904,2.3646,1.7396,1.5938
10,attraction,3.3125,3.4271,1.8229,0.0471,1.6146,2.0208,1.5
10,compromise,3.7292,4.0625,1.6562,0.1723,1.9688,1.9792,1.4375
11,attraction,5.2083,4.2812,2.3125,0.0526,2.3438,3.125,2.0521
11,compromise,4.8333,4.3438,2.3229,0.0204,2.5208,2.5,2.1354
12,attraction,6.1979,5.5938,2.25,0.1302,2.875,3.1458,2.4271
12,compromise,6.5312,6.0,1.7708,0.107,3.1458,2.7604,2.3958
13,attraction,12.5208,9.6979,5.6979,0.0071,8.5208,5.7917,3.9062
13,compromise,16.1354,10.9583,6.8646,-0.1198,8.8021,8.625,5.5729
14,attraction,10.6562,6.6979,3.4688,-0.0472,4.6875,5.8021,3.6354
14,compromise,12.1458,8.7396,4.25,-0.0227,6.3438,5.5,4.5521
15,attraction,5.6354,3.875,2.8542,-0.0966,2.7396,3.2917,2.4583
15,compromise,5.6562,4.375,2.8125,-0.0501,3.5208,2.9375,2.0104
16,attraction,10.0625,13.125,1.3229,0.315,4.5729,3.875,2.9375
16,compromise,9.0833,14.6354,1.2812,0.4436,3.4688,3.5938,3.3021
17,attraction,6.2604,5.8333,0.9375,0.2547,2.2396,2.5208,2.4375
17,compromise,4.9583,4.8333,0.7708,0.2255,2.0521,2.0729,1.6042
18,attraction,9.6146,9.0208,4.0,0.0768,4.9271,5.1562,3.5312
18,compromise,8.7188,9.1354,3.8646,0.1608,6.0938,3.7083,2.7812
19,attraction,8.9792,7.5938,4.5417,-0.0107,4.7917,4.5,4.2292
19,compromise,8.6146,8.2083,3.6771,0.046,4.9896,4.1875,3.1146
20,attraction,5.5625,10.0104,2.3542,0.4043,2.9688,2.875,2.0729
20,compromise,5.5625,10.9896,2.7292,0.4417,3.375,2.8021,2.1146
21,attraction,10.0729,13.0312,3.0521,0.303,5.5833,3.9896,3.5521
21,compromise,10.5,12.375,2.7812,0.2893,4.1771,4.3229,4.7812
22,attraction,3.8958,2.6979,2.8646,-0.1704,2.0833,2.8854,1.7917
22,compromise,4.4062,3.2708,2.6458,-0.1155,2.7917,2.5521,1.7083
23,attraction,4.9479,8.75,2.0417,0.4072,2.6042,2.4792,1.9062
23,compromise,5.2812,8.8333,2.0,0.3799,2.875,2.4479,1.9583
24,attraction,8.125,8.1458,2.4375,0.1477,4.5729,3.375,2.6146
24,compromise,8.3333,8.4896,2.1354,0.2345,4.0521,3.3438,3.0729
26,attraction,8.0521,9.7396,3.5521,0.1324,3.6354,4.6146,3.3542
26,compromise,7.4375,11.5625,3.3854,0.3161,3.8542,3.9792,2.9896
27,attraction,5.6458,4.5625,1.4062,0.1258,2.3646,2.5833,2.1042
27,compromise,5.0417,4.875,1.1875,0.2063,2.4688,2.0833,1.6771
30,attraction,6.4792,8.5208,3.375,0.2024,3.9479,3.75,2.1562
30,compromise,5.8958,9.0104,2.8958,0.3532,3.8438,2.7708,2.1771
31,attraction,11.8646,11.4688,3.9062,0.1094,5.4062,6.4479,3.9167
31,compromise,9.3438,10.3542,3.1875,0.1819,5.3229,3.9583,3.25
32,attraction,6.8438,6.5104,3.6667,0.0704,3.1667,4.3125,3.0312
32,compromise,7.7812,6.4583,3.7188,-0.0577,4.2917,3.6146,3.5938
33,attraction,6.3438,4.5729,2.875,-0.0645,3.0208,3.4375,2.7604
33,compromise,7.1979,6.25,2.625,0.0299,3.6875,3.4271,2.7083
34,attraction,8.8542,7.1771,4.8438,-0.0174,4.7604,5.6042,3.3333
34,compromise,8.375,7.4271,3.6771,0.0183,5.0417,3.6562,3.3542
35,attraction,3.9062,5.9375,2.6146,0.2414,1.8958,2.9062,1.7188
35,compromise,4.1146,6.2188,2.0,0.2993,2.5208,2.1458,1.4479
36,attraction,6.3229,6.4792,1.1771,0.2639,2.8646,2.5938,2.0417
36,compromise,5.3333,6.7188,1.0833,0.386,2.5,1.9688,1.9479
37,attraction,9.6458,12.0,5.9479,0.171,7.7812,4.3958,3.4167
37,compromise,9.9479,11.4792,5.7812,0.1413,5.5625,6.0521,4.1146
38,attraction,8.75,7.1875,3.7812,0.0368,4.3646,4.2396,3.9271
38,compromise,9.2812,7.2604,3.4271,-0.0065,5.1979,3.625,3.8854
39,attraction,5.2708,2.7083,1.8958,-0.1787,2.4375,2.3542,2.375
39,compromise,4.4896,2.6146,1.6667,-0.2092,2.1562,2.2083,1.7917
41,attraction,4.1522,3.4565,2.2391,-0.094,2.087,2.2174,2.087
41,compromise,5.2065,4.3261,2.2174,-0.0217,2.837,2.3587,2.2283
42,attraction,8.5417,9.0208,4.2812,0.0845,4.1771,5.5417,3.1042
42,compromise,10.0833,10.4792,5.4271,0.0825,6.1667,5.8646,3.4792
43,attraction,3.3854,3.1979,0.8542,0.1086,1.4062,1.4167,1.4167
43,compromise,3.6947,2.8842,0.8947,0.0433,1.4632,1.6421,1.4842
